Место;Координаты;Год;Что измеряем; Значение
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2011;ВПК 5, мг/л;0,52
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2011;Нефтепродукты, мг/л;0,01
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;Температура воды, град.;9,6
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;Взвешенные вещества, мг/л;3,5
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;Цветность, град.;0
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;pH;8,09
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;Кислород;8,74
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;Сульфаты;15,3
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;Хлориды;4,1
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;Сумма ионов (минерализация) , мг/л;116
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;Общая жесткость, ммоль/л;1,56
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;Азот нитритный, мг/л;0,002
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;Азот нитратный, мг/л;0,96
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;ВПК 5, мг/л;0,53
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2012;Нефтепродукты, мг/л;0
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;Температура воды, град.;9,1
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;Взвешенные вещества, мг/л;3,1
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;Цветность, град.;7
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;pH;8,2
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;Кислород;9,36
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;Сульфаты;17,7
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;Хлориды;3,5
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;Сумма ионов (минерализация) , мг/л;127
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;Общая жесткость, ммоль/л;1,7
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;Азот нитритный, мг/л;0,002
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;Азот нитратный, мг/л;0,81
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;ВПК 5, мг/л;0,64
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2013;Нефтепродукты, мг/л;0,01
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;Температура воды, град.;9,4
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;Взвешенные вещества, мг/л;3
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;Цветность, град.;4
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;pH;8,15
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;Кислород;10,1
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;Сульфаты;19,4
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;Хлориды;2,7
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;Сумма ионов (минерализация) , мг/л;130
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;Общая жесткость, ммоль/л;1,86
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;Азот нитритный, мг/л;0,001
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;Азот нитратный, мг/л;0,86
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;ВПК 5, мг/л;0,45
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2014;Нефтепродукты, мг/л;0
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;Температура воды, град.;9,8
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;Взвешенные вещества, мг/л;0,5
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;Цветность, град.;5
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;pH;8,2
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;Кислород;10,06
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;Сульфаты;17,7
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;Хлориды;2,3
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;Сумма ионов (минерализация) , мг/л;139
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;Общая жесткость, ммоль/л;1,86
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;Азот нитритный, мг/л;0,001
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;Азот нитратный, мг/л;0,91
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;ВПК 5, мг/л;0,67
р. Кичи-Кемин - пос. Актюз, 3 км выше поселка, 0,2 м;42.886682, 76.099286;2015;Нефтепродукты, мг/л;0,02
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;Температура воды, град.;10
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;Взвешенные вещества, мг/л;10,2
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;Цветность, град.;8
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;pH;8,01
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;Кислород;9,07
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;Сульфаты;26,4
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;Хлориды;4,4
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;Сумма ионов (минерализация) , мг/л;168
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;Общая жесткость, ммоль/л;2,31
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;Азот нитритный, мг/л;0,002
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;Азот нитратный, мг/л;0,92
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;ВПК 5, мг/л;0,7
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2011;Нефтепродукты, мг/л;0,01
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;Температура воды, град.;11
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;Взвешенные вещества, мг/л;14
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;Цветность, град.;5
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;pH;8,18
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;Кислород;8,79
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;Сульфаты;19,6
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;Хлориды;4,4
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;Сумма ионов (минерализация) , мг/л;153
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;Общая жесткость, ммоль/л;2,13
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;Азот нитритный, мг/л;0,003
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;Азот нитратный, мг/л;0,98
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;ВПК 5, мг/л;0,89
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2012;Нефтепродукты, мг/л;0,01
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;Температура воды, град.;11,1
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;Взвешенные вещества, мг/л;2,3
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;Цветность, град.;8
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;pH;8,18
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;Кислород;9,58
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;Сульфаты;21,8
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;Хлориды;3,9
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;Сумма ионов (минерализация) , мг/л;163
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;Общая жесткость, ммоль/л;2,27
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;Азот нитритный, мг/л;0,001
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;Азот нитратный, мг/л;1,42
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;ВПК 5, мг/л;0,83
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2013;Нефтепродукты, мг/л;0,01
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;Температура воды, град.;10,5
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;Взвешенные вещества, мг/л;6,2
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;Цветность, град.;4
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;pH;8,21
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;Кислород;10,2
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;Сульфаты;22,1
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;Хлориды;3,6
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;Сумма ионов (минерализация) , мг/л;164
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;Общая жесткость, ммоль/л;2,38
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;Азот нитритный, мг/л;0,003
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;Азот нитратный, мг/л;0,93
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;ВПК 5, мг/л;0,59
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2014;Нефтепродукты, мг/л;0
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;Температура воды, град.;10,4
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;Взвешенные вещества, мг/л;0,8
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;Цветность, град.;6
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;pH;8,28
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;Кислород;10,3
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;Сульфаты;20,1
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;Хлориды;2,7
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;Сумма ионов (минерализация) , мг/л;183
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;Общая жесткость, ммоль/л;2,51
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;Азот нитритный, мг/л;0,002
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;Азот нитратный, мг/л;0,91
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;ВПК 5, мг/л;0,77
р. Кичи-Кемин - пос. Актюз, 8 км ниже поселка, 0,2 м;42.846232, 76.045280;2015;Нефтепродукты, мг/л;0,02
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;Температура воды, град.;13,6
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;Взвешенные вещества, мг/л;14,5
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;Цветность, град.;5
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;pH;8,1
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;Кислород;9
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;Сульфаты;50,1
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;Хлориды;12,1
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;Сумма ионов (минерализация) , мг/л;289
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;Общая жесткость, ммоль/л;3,93
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;Азот нитритный, мг/л;0,003
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;Азот нитратный, мг/л;2,93
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;ВПК 5, мг/л;0,36
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2011;Нефтепродукты, мг/л;0,01
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;Температура воды, град.;14,4
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;Взвешенные вещества, мг/л;7,3
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;Цветность, град.;2
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;pH;8,02
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;Кислород;9,4
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;Сульфаты;44,7
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;Хлориды;12,5
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;Сумма ионов (минерализация) , мг/л;282
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;Общая жесткость, ммоль/л;3,75
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;Азот нитритный, мг/л;0,003
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;Азот нитратный, мг/л;2,86
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;ВПК 5, мг/л;0,51
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2012;Нефтепродукты, мг/л;0,01
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;Температура воды, град.;11,8
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;Взвешенные вещества, мг/л;23,8
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;Цветность, град.;5
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;pH;8,25
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;Кислород;9,68
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;Сульфаты;43,1
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;Хлориды;11,7
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;Сумма ионов (минерализация) , мг/л;279
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;Общая жесткость, ммоль/л;15,4
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;Азот нитритный, мг/л;0,004
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;Азот нитратный, мг/л;2,26
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;ВПК 5, мг/л;0,53
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2013;Нефтепродукты, мг/л;0,01
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;Температура воды, град.;13,7
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;Взвешенные вещества, мг/л;9,6
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;Цветность, град.;6
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;pH;8,19
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;Кислород;9,9
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;Сульфаты;41
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;Хлориды;11,3
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;Сумма ионов (минерализация) , мг/л;276
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;Общая жесткость, ммоль/л;3,86
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;Азот нитритный, мг/л;0,005
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;Азот нитратный, мг/л;1,87
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;ВПК 5, мг/л;0,71
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2014;Нефтепродукты, мг/л;0,01
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;Температура воды, град.;13,9
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;Взвешенные вещества, мг/л;1,7
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;Цветность, град.;5
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;pH;8,35
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;Кислород;10,5
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;Сульфаты;40,3
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;Хлориды;10,4
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;Сумма ионов (минерализация) , мг/л;310
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;Общая жесткость, ммоль/л;3,97
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;Азот нитритный, мг/л;0,005
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;Азот нитратный, мг/л;2,57
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;ВПК 5, мг/л;0,85
р. Красная - г. Токмок, 11 км ниже города, 0,2 м;42.886948, 75.130039;2015;Нефтепродукты, мг/л;0,01
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;Температура воды, град.;13,7
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;Взвешенные вещества, мг/л;333,3
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;Цветность, град.;11
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;pH;7,95
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;Кислород;8,67
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;Сульфаты;100,6
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;Хлориды;26,8
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;Сумма ионов (минерализация) , мг/л;379
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;Общая жесткость, ммоль/л;4,5
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;Азот нитритный, мг/л;0,013
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;Азот нитратный, мг/л;2,83
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;ВПК 5, мг/л;1,01
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2011;Нефтепродукты, мг/л;0,01
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;Температура воды, град.;13,3
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;Взвешенные вещества, мг/л;286,4
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;Цветность, град.;10
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;pH;7,88
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;Кислород;9,13
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;Сульфаты;98,1
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;Хлориды;25,3
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;Сумма ионов (минерализация) , мг/л;395
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;Общая жесткость, ммоль/л;4,76
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;Азот нитритный, мг/л;0,015
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;Азот нитратный, мг/л;2,27
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;ВПК 5, мг/л;1,04
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2012;Нефтепродукты, мг/л;0,01
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;Температура воды, град.;10,7
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;Взвешенные вещества, мг/л;482
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;Цветность, град.;8
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;pH;8,23
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;Кислород;9,84
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;Сульфаты;107,5
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;Хлориды;37,9
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;Сумма ионов (минерализация) , мг/л;419
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;Общая жесткость, ммоль/л;4,65
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;Азот нитритный, мг/л;0,012
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;Азот нитратный, мг/л;2,22
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;ВПК 5, мг/л;0,87
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2013;Нефтепродукты, мг/л;0,01
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2014;Температура воды, град.;11,1
р. Ноуруз - с. Новопокровка, в черте села, 0,2 м;42.885323, 74.704267;2014;Взвешенные вещества, мг/л;329,9
