Место;Координаты;Год;Что измеряем; Значение
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;Сумма ионов (минерализация) , мг/л;217
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;Общая жесткость, ммоль/л;3,12
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;Азот нитритный, мг/л;0,003
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;Азот нитратный, мг/л;0,89
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;ВПК 5, мг/л;0,51
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;Нефтепродукты, мг/л;0,01
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;Температура воды, град.;15,4
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;Взвешенные вещества, мг/л;27,4
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;Цветность, град.;4
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;pH;8,11
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;Кислород;9,52
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;Сульфаты;45,8
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;Хлориды;11
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;Сумма ионов (минерализация) , мг/л;230
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;Общая жесткость, ммоль/л;3,13
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;Азот нитритный, мг/л;0,004
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;Азот нитратный, мг/л;1,03
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;ВПК 5, мг/л;0,74
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2012;Нефтепродукты, мг/л;0,02
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;Температура воды, град.;13,9
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;Взвешенные вещества, мг/л;62,1
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;Цветность, град.;5
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;pH;8,1
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;Кислород;9,75
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;Сульфаты;42,8
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;Хлориды;10,2
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;Сумма ионов (минерализация) , мг/л;228
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;Общая жесткость, ммоль/л;3,18
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;Азот нитритный, мг/л;0,004
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;Азот нитратный, мг/л;1,18
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;ВПК 5, мг/л;0,62
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2013;Нефтепродукты, мг/л;0,01
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;Температура воды, град.;13,8
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;Взвешенные вещества, мг/л;31,5
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;Цветность, град.;4
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;pH;8,1
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;Кислород;10,1
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;Сульфаты;37,4
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;Хлориды;9,7
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;Сумма ионов (минерализация) , мг/л;228
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;Общая жесткость, ммоль/л;3,42
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;Азот нитритный, мг/л;0,004
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;Азот нитратный, мг/л;1,24
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;ВПК 5, мг/л;0,5
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2014;Нефтепродукты, мг/л;0
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;Температура воды, град.;14,7
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;Взвешенные вещества, мг/л;23,7
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;Цветность, град.;3
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;pH;8,08
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;Кислород;10,21
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;Сульфаты;37,2
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;Хлориды;9,5
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;Сумма ионов (минерализация) , мг/л;247
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;Общая жесткость, ммоль/л;3,62
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;Азот нитритный, мг/л;0,004
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;Азот нитратный, мг/л;1,76
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;ВПК 5, мг/л;1,06
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2015;Нефтепродукты, мг/л;0,01
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;Температура воды, град.;16
